,name,rating,reviews,benefits
0,TCS,3.8,73.8k,11.6k
1,Accenture,4.0,46.8k,7.1k
2,Cognizant,3.9,42.1k,5.8k
3,Wipro,3.8,39.6k,5k
4,Capgemini,3.9,34.3k,4k
5,HDFC Bank,4.0,34.2k,3.2k
6,ICICI Bank,4.0,33.8k,3.8k
7,Infosys,3.8,32.1k,5.2k
8,HCLTech,3.7,28.8k,4.1k
9,Tech Mahindra,3.7,27.9k,3.6k
10,Genpact,3.9,26.4k,3.7k
11,Axis Bank,3.9,22.2k,2.2k
12,Teleperformance,3.6,22.1k,2k
13,Concentrix Corporation,3.9,22k,3.3k
14,Jio,4.0,20.8k,2.6k
15,Amazon,4.1,20.7k,4.2k
16,IBM,4.1,19.8k,2.7k
17,Reliance Retail,4.0,19k,2k
18,HDB Financial Services,4.0,18.3k,1.5k
19,Larsen & Toubro Limited,4.1,16.8k,2.9k
20,Vodafone Idea,4.2,15.5k,2.1k
21,BYJU'S,3.1,14.7k,1.9k
22,Kotak Mahindra Bank,3.8,14.4k,1.3k
23,Deloitte,3.9,14k,2.5k
24,Reliance Industries,4.1,13.8k,1.9k
25,iEnergizer,4.6,13.5k,523
26,Bharti Airtel,4.1,12.3k,1.6k
27,Tata Motors,4.2,10.6k,1.7k
28,WNS,3.5,9.8k,1.4k
29,Flipkart,4.1,9.4k,1.5k
30,IndusInd Bank,3.7,9.3k,801
31,Ernst & Young,3.6,9k,1.3k
32,AU Small Finance Bank,4.5,8.8k,488
33,Mahindra & Mahindra,4.2,8.7k,1.3k
34,Infosys BPM,3.8,8.4k,1.2k
35,DXC Technology,3.8,8.4k,1.2k
36,IDFC FIRST Bank,4.0,8.2k,721
37,Conneqt Business Solutions,3.7,7.9k,809
38,LTIMindtree,3.7,7.8k,852
39,HDFC Life,4.1,7.8k,646
40,Bajaj Finserv,4.1,7.6k,751
41,Mphasis,3.5,7.1k,880
42,PwC,3.6,7k,868
43,HSBC Group,4.1,6.8k,1.2k
44,Startek,3.2,6.8k,723
45,Hinduja Global Solutions,4.0,6.8k,1k
46,Samsung,4.1,6.7k,562
47,Ericsson,4.3,6.6k,1k
48,Maruti Suzuki,4.3,6.6k,1.1k
49,Shriram Finance,4.1,6.5k,47
50,Asian Paints,4.1,6.4k,905
51,Yes Bank,3.9,6.4k,628
52,Cipla,4.1,6.2k,895
53,Sutherland Global Services,3.7,6k,941
54,Dr. Reddy's,4.2,6k,883
55,Paytm,3.5,6k,582
56,Bandhan Bank,3.8,6k,532
57,UltraTech Cement,4.2,6k,654
58,EXL Service,3.8,5.9k,859
59,NTT DATA,4.0,5.9k,775
60,ICICI Prudential Life Insurance,4.1,5.7k,636
61,Bajaj Finance,4.1,5.7k,524
62,Jana Small Finance Bank,3.9,5.6k,621
63,Lupin,4.1,5.5k,821
64,Indian Army,4.7,5.4k,761
65,HCL Group,3.7,5.4k,698
66,Quess,4.0,5.3k,461
67,Tata Steel,4.2,5.3k,677
68,L&T Infotech,3.8,5.3k,899
